cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
016772;00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2020;1.63544820729;1.45097603147;11.2796097732;15.3626850443;40.3824844174;38923297000;;;2408621000;116774155000;1694365000;103602486000
016772;00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2021;11.7778487434;10.5826929125;10.147488365;8.06417170672;135.254211444;50629913000;241.445914488;-1.43001591405;8224138000;115104266000;12181131000;103424074000
016772;00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2022;43.0381246155;35.0095021504;18.6546754461;3.17143614316;135.111158713;11075505000;129.441079418;-37.5042311638;18869551000;71935296000;25184189000;58516000000
016772;00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2023;9.90624134656;8.30971647879;16.1163534373;5.06185369544;74.0200445063;6866274000;-58.7003527535;14.7624971196;7793058000;82554742000;6860065000;69249928000
016772;00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2024;11.7253115272;9.90693431276;15.5081356282;6.90974324932;83.3980030218;14482186000;22.3474276722;12.7937581102;9534606000;93116596000;9225000000;78675948000
016772;00.383.281/0001-09;BNDES PARTICIPACOES S.A. - BNDESPAR;2025;8.71628406924;7.60524611603;12.7466927922;7.17797433879;89.3294465037;17570130000;-30.4359823573;5.55633713243;6632655000;98290468000;7475232000;85761684000
024880;00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2020;11.6291978906;1.86542574147;83.9591194594;1.20550329586;27.1648782426;537361000;;;523459000;1931677000;36034000;309858000
024880;00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2021;36.5543712233;4.99030162331;86.3482766731;0.664712108866;30.9652006132;271034000;50.296011722;2.35329198412;786738000;1977135000;98665000;269913000
024880;00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2022;6.16141950933;1.72349531313;72.0276259307;0.589351256401;38.798705997;977623000;58.1075275378;313.48076889;1243892000;8175073000;140897000;2286762000
024880;00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2023;6.80910343047;1.31454893392;80.6942434149;0.45820076651;29.5630154938;1611137000;138.208542221;49.2304472388;2963057000;12199698000;160371000;2355244000
024880;00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2024;8.18543244577;1.18404534038;85.5347246682;0.612309191586;29.6799277814;2097849000;40.0454328081;38.583635431;4149626000;16906785000;200184000;2445613000
024880;00.389.481/0001-79;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2025;1.76353256006;0.234969428703;86.6762069482;0.372952301795;32.2994462723;1087685000;26.9104010819;13.7498229261;5266307000;19231438000;45188000;2562357000
024406;00.416.968/0001-01;BANCO INTER S.A.;2020;;0;83.2916081548;0.834268824555;-9.54208682593;486929000;;;930897000;19766642000;0;0
024406;00.416.968/0001-01;BANCO INTER S.A.;2021;-0.137506197639;-0.104669393056;0.181633466454;7.5199477077;-10.9099761021;464337000;112.482906272;85.3586107342;1977997000;36639173000;-38350000;27889652000
024406;00.416.968/0001-01;BANCO INTER S.A.;2022;-0.0911713971501;-0.0706742598303;0.196872007693;15.4078009521;-13.6214580354;501525000;-63.4152630161;5.42021513422;723645000;38625095000;-27298000;29941408000
014966;00.545.378/0001-70;SERRA AZUL WATER PARK SA;2020;-9.24782785378;-7.0444126708;23.8262997303;1.91714810924;-16.6469893743;256000;;;20328000;67841000;-4779000;51677000
014966;00.545.378/0001-70;SERRA AZUL WATER PARK SA;2021;-2.66001827645;-1.85154456705;30.3935396443;1.59723005073;-0.819822127878;258000;34.4106650925;6.59925413835;27323000;72318000;-1339000;50338000
014966;00.545.378/0001-70;SERRA AZUL WATER PARK SA;2022;4.04125126289;2.89194756299;28.4393032043;1.66801252472;6.40099626401;405000;61.6403762398;1.36757100584;44165000;73307000;2120000;52459000
014966;00.545.378/0001-70;SERRA AZUL WATER PARK SA;2023;10.2865069626;7.47277166962;27.3536517616;1.98724193923;12.0706082945;290000;35.4534133364;5.58473269947;59823000;77401000;5784000;56229000
022594;00.622.416/0001-41;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2020;4.50411853135;2.53446642633;43.730023784;1.05945408296;27.2375204325;235645000;;;477180000;2347792000;59504000;1321102000
